UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Failure Injected
17,-0.7024092752447672,-0.5429545740840913,-1.2705392996444398,0.663403013968845,-0.7520821933526939,0,0,0,0,0,0,1
18,-0.652413241617146,-0.5429545740840913,-0.7183154681502685,0.5630863671412888,-0.6891606761210769,0,0,0,0,0,0,1
19,-0.6024172079894964,-0.5429545740840913,-1.2984293921441454,1.4559045239065398,-0.6262391588894599,0,0,0,0,0,0,1
20,-0.5524211743618752,-0.4755536884785243,0.5200046388366611,-0.7510617062996991,-0.5318962792929054,0,0,0,0,0,0,1
52,-0.5524211743618752,-0.61035545968962,-0.8689219676486789,1.496031182637562,0.5820650271292868,0,0,0,0,0,0,1
53,-0.6024172079894964,-0.677756345295187,-0.2330278586553906,0.382516402851687,0.6134863894942243,0,0,0,0,0,0,1
54,-0.652413241617146,-0.677756345295187,0.1462773993406058,-0.4902384245480525,0.6920397954065683,0,0,0,0,0,0,1
55,-0.652413241617146,-0.677756345295187,0.8491077303331875,-0.991821658685834,0.723461157771506,0,0,0,0,0,0,1
56,-0.6024172079894964,-0.61035545968962,-0.1493575811562738,0.0715347976862629,0.7548825201364435,0,0,0,0,0,0,1
57,-0.6024172079894964,-0.61035545968962,-0.3445882286542132,0.2420730972931082,0.7863038825013812,0,0,0,0,0,0,1
58,-0.6024172079894964,-0.61035545968962,-0.1437795626563326,0.0314081389552398,0.8177252448663187,0,0,0,0,0,0,1
59,-0.6024172079894964,-0.677756345295187,0.6817671753349538,-1.052011646782368,0.8491466072312563,0,0,0,0,0,0,1
60,-0.6024172079894964,-0.61035545968962,-0.8968120601483845,1.445872859223784,0.8962786507786628,0,0,0,0,0,0,1
61,-0.6024172079894964,-0.61035545968962,-0.8131417826492676,1.265302894934183,0.9277000131436004,0,0,0,0,0,0,1
62,-0.6024172079894964,-0.677756345295187,0.2968838988390162,-0.1792568193826278,0.959121375508538,0,0,0,0,0,0,1
63,-0.6024172079894964,-0.677756345295187,1.618874283325063,-1.71410151584424,1.0062534190559445,0,0,0,0,0,0,1
64,-0.5524211743618752,-0.677756345295187,1.5240479688260635,-1.4131515753615709,1.037674781420882,0,0,0,0,0,0,1
65,-0.5024251407342256,-0.61035545968962,-0.0879993776569214,-0.1391301606516054,1.0848068249682885,0,0,0,0,0,0,1
66,-0.5024251407342256,-0.61035545968962,-0.8075637641493265,0.5129280437275106,1.116228187333226,0,0,0,0,0,0,1
67,-0.5524211743618752,-0.7451572309007539,0.782171508333894,-0.3322649642444131,1.1476495496981636,0,0,0,0,0,0,1
68,-0.6024172079894964,-0.7451572309007539,-0.4059464321535655,0.4126113968999543,1.19478159324557,0,0,0,0,0,0,1
69,-0.6024172079894964,-0.7451572309007539,-0.0656873036571569,-0.7610933709824549,1.273334999157914,0,0,0,0,0,0,1
71,-0.5524211743618752,-0.677756345295187,2.14878604081947,-1.7441965098925063,1.3361777238877892,0,0,0,0,0,0,1
72,-0.5524211743618752,-0.61035545968962,-0.4840386911527413,0.5530547024585329,1.3833097674351955,0,0,0,0,0,0,1
104,-0.6024172079894964,-0.8125581165062826,-0.5453968946520936,0.0514714683207514,-0.706210829833155,0,0,0,0,0,0,1
105,-0.6024172079894964,-0.8799590021118496,-0.4951947281526235,0.3423897441206646,-0.6590787862857486,0,0,0,0,0,0,1
106,-0.6024172079894964,-0.8799590021118496,0.291305880339075,-0.8915050118582778,-0.627657423920811,0,0,0,0,0,0,1
107,-0.6024172079894964,-0.8799590021118496,-0.5230848206523292,0.8540046429412019,-0.5962360615558734,0,0,0,0,0,0,1
108,-0.6024172079894964,-0.8125581165062826,-0.2330278586553906,0.6834663433343559,-0.5648146991909357,0,0,0,0,0,0,1
109,-0.5524211743618752,-0.8125581165062826,0.4586464353373088,-0.7309983769341876,-0.5176826556435293,0,0,0,0,0,0,1
110,-0.5524211743618752,-0.8799590021118496,0.1853235288401937,-0.5905550713756088,-0.4391292497311854,0,0,0,0,0,0,1
111,-0.6024172079894964,-0.9473598877173782,1.8587290788225312,-1.754228174575262,-0.4077078873662477,0,0,0,0,0,0,1
112,-0.652413241617146,-0.9473598877173782,-0.2218718216555084,0.3524214088034203,-0.3762865250013101,0,0,0,0,0,0,1
113,-0.6024172079894964,-0.8799590021118496,-0.2274498401554495,-0.0488451785068049,-0.2977331190889661,0,0,0,0,0,0,1
114,-0.6024172079894964,-0.9473598877173782,-0.294386062154743,0.1919147738793301,-0.2506010755415597,0,0,0,0,0,0,1
115,-0.6024172079894964,-0.9473598877173782,0.7877495268338351,-1.0620433114651238,-0.2034690319941533,0,0,0,0,0,0,1
116,-0.6024172079894964,-0.9473598877173782,-0.6011770796515049,0.5731180318240445,-0.1720476696292157,0,0,0,0,0,0,1
117,-0.5524211743618752,-0.8799590021118496,0.1406993808406647,-0.5905550713756088,-0.1406263072642781,0,0,0,0,0,0,1
118,-0.6024172079894964,-0.9473598877173782,0.3359300283386041,-0.7009033828859209,-0.1092049448993405,0,0,0,0,0,0,1
119,-0.6024172079894964,-0.9473598877173782,0.9383560263322456,-0.39245495234094685,-0.0777835825344029,0,0,0,0,0,0,1
120,-0.652413241617146,-1.0147607733229451,-0.4003684136536244,0.0715347976862629,-0.0306515389869965,0,0,0,0,0,0,1
121,-0.5524211743618752,-0.8799590021118496,-0.5900210426516227,0.4728013849964882,0.000769823377941,0,0,0,0,0,0,1
122,-0.5524211743618752,-0.8799590021118496,0.1072312698410179,0.1216931211000411,0.0321911857428786,0,0,0,0,0,0,1
123,-0.5024251407342256,-0.8125581165062826,-1.276117318144381,1.074701265961826,0.0636125481078162,0,0,0,0,0,0,1
154,-0.8024013425000663,-1.216963430139608,1.7360126718238265,-1.3028032638512588,1.351888405070258,0,0,0,0,0,0,1
155,-0.8024013425000663,-1.1906476406659237,-0.0601092851572157,-0.3798901130377404,1.3833097674351955,0,0,0,0,0,0,1
156,-0.8024013425000663,-1.1643318511922396,2.5002012063157606,-2.025083121009664,1.4147311298001333,0,0,0,0,0,0,1
157,-0.8024013425000663,-1.2054169473240837,-0.2441838956552729,0.6032130258723112,1.493284535712477,0,0,0,0,0,0,1
158,-0.8024013425000663,-1.111700272244871,-0.339010210154272,0.3524214088034203,1.5404165792598836,0,0,0,0,0,0,1
159,-0.8024013425000663,-1.085384482771187,-0.2218718216555084,0.0013131449069732,1.6189699851722277,0,0,0,0,0,0,1
160,-0.8024013425000663,-1.0590686932975026,-0.3780563396538599,0.7035296726998674,1.666102028719634,0,0,0,0,0,0,1
163,-0.8523973761276875,-1.100153789429347,0.2634157878393695,-0.4501117658170301,-1.6959837443286896,0,0,0,0,0,0,1
164,-0.8024013425000663,-1.0064371143501343,-0.3947903951536833,0.382516402851687,-1.6645623819637518,0,0,0,0,0,0,1
165,-0.7524053088724167,-0.9127204392708831,-0.5509749131520348,0.3624530734861761,-1.6174303384163455,0,0,0,0,0,0,1
166,-0.7524053088724167,-0.8190037641916699,1.083384507330715,-1.403119910678815,-1.570298294868939,0,0,0,0,0,0,1
167,-0.8024013425000663,-0.9274897459290816,0.4084442688378387,-0.7410300416169433,-1.5388769325040017,0,0,0,0,0,0,1
168,-0.8024013425000663,-0.8337730708498304,-0.4505705801530945,0.2922314207068864,-1.4603235265916574,0,0,0,0,0,0,1
170,-0.8024013425000663,-0.8074572813761463,-1.231493170144852,1.917361099313299,-1.3503487583143758,0,0,0,0,0,0,1
171,-0.8024013425000663,-0.848542377508029,0.3972882318379565,-0.5002700892308083,-1.3189273959494383,0,0,0,0,0,0,1
172,-0.9023934097553372,-0.8896274736398732,-0.42825850615333,1.0847329306445812,-1.2717953524020318,0,0,0,0,0,0,1
173,-0.9523894433829584,-0.9307125697717562,2.14878604081947,-1.924766474182108,-1.2403739900370945,0,0,0,0,0,0,1
174,-0.9023934097553372,-0.904396780298072,0.291305880339075,-0.6306817301066312,-1.1932419464896875,0,0,0,0,0,0,1
175,-0.9023934097553372,-0.8106801052188206,-1.2984293921441454,1.8371077818512536,-1.1461099029422814,0,0,0,0,0,0,1
176,-0.9023934097553372,-0.7843643157451363,-0.87449998614862,0.3524214088034203,-1.114688540577344,0,0,0,0,0,0,1
209,-0.8024013425000663,-0.9473598877173782,0.291305880339075,-0.3297317896239622,0.2207193599325043,0,0,0,0,0,0,1
210,-0.8024013425000663,-0.9473598877173782,-0.3445882286542132,0.4025797322171985,0.2521407222974419,0,0,0,0,0,0,1
211,-0.8024013425000663,-0.8799590021118496,-0.0879993776569214,-0.3899217777204962,0.2835620846623795,0,0,0,0,0,0,1
212,-0.7524053088724167,-0.8799590021118496,0.202057584340017,-0.6106184007411204,0.3149834470273171,0,0,0,0,0,0,1
213,-0.8024013425000663,-0.8799590021118496,-1.0864646891463827,1.2953978889824496,0.3464048093922547,0,0,0,0,0,0,1
214,-0.8024013425000663,-0.8799590021118496,-0.8521879121488555,0.492864714361999,0.4249582153045987,0,0,0,0,0,0,1
215,-0.8523973761276875,-0.9473598877173782,0.2801498433391928,-0.2896051308929399,0.4563795776695363,0,0,0,0,0,0,1
216,-0.8523973761276875,-0.9473598877173782,0.0514510848416067,0.0314081389552398,0.5035116212169427,0,0,0,0,0,0,1
217,-0.8523973761276875,-0.9473598877173782,-0.2218718216555084,-0.1692251546998727,0.5349329835818804,0,0,0,0,0,0,1
218,-0.8523973761276875,-1.0147607733229451,0.6985012308347772,-0.8413466884444997,0.5663543459468179,0,0,0,0,0,0,1
219,-0.8523973761276875,-0.9473598877173782,-0.5119287836524469,-0.1892884840653836,0.5977757083117555,0,0,0,0,0,0,1
220,-0.8523973761276875,-1.0147607733229451,-0.5844430241516816,0.6232763552378227,0.6291970706766932,0,0,0,0,0,0,1
221,-0.8523973761276875,-1.0147607733229451,-0.6848473571506217,1.2753345596169388,0.6763291142240996,0,0,0,0,0,0,1
222,-0.8024013425000663,-1.0147607733229451,1.6077182463251805,-1.5736582102856609,0.7077504765890371,0,0,0,0,0,0,1
223,-0.8024013425000663,-0.9473598877173782,-1.309585429144028,0.5028963790447548,0.7863038825013812,0,0,0,0,0,0,1
224,-0.8024013425000663,-0.9473598877173782,0.1685894733403703,0.23953992267265778,0.8177252448663187,0,0,0,0,0,0,1
225,-0.8523973761276875,-0.9473598877173782,0.2522597508394872,-1.0720749761478792,0.8491466072312563,0,0,0,0,0,0,1
226,-0.8523973761276875,-1.0147607733229451,-0.9860603561474424,1.3856828711272502,0.880567969596194,0,0,0,0,0,0,1
227,-0.8523973761276875,-1.082161658928512,-1.1701349666454997,0.9242262957204916,0.9119893319611316,0,0,0,0,0,0,1
228,-0.8523973761276875,-1.0147607733229451,0.0012489183421365,-0.3899217777204962,0.9434106943260692,0,0,0,0,0,0,1
263,-0.9523894433829584,-1.216963430139608,1.100118562830538,-1.32286659321677,-1.2717953524020318,0,0,0,0,0,0,1
264,-1.0023854770106078,-1.2843643157451363,0.2689938063393106,-0.7711250356652106,-1.2088738351704151,0,0,0,0,0,0,1
265,-0.9523894433829584,-1.216963430139608,-0.829875838149091,0.7536879961136456,-1.1459523179387978,0,0,0,0,0,0,1
266,-1.0023854770106078,-1.2843643157451363,-0.472882654152859,-0.2896051308929399,-1.09874148188965,0,0,0,0,0,0,1
267,-1.0023854770106078,-1.2843643157451363,-0.5509749131520348,0.3724847381689319,-1.0515306458405018,0,0,0,0,0,0,1
268,-1.0523815106382577,-1.3517652013507035,2.3161265958177037,-1.894671480133841,-0.9571877662439472,0,0,0,0,0,0,1
269,-1.0523815106382577,-1.3517652013507035,1.4571117468267702,-1.5234998868718823,-0.9099769301947992,0,0,0,0,0,0,1
270,-1.0023854770106078,-1.3517652013507035,-0.0824213591569802,-0.2996367955756956,-0.8156340505982447,0,0,0,0,0,0,1
271,-1.0023854770106078,-1.3517652013507035,-0.1047334331567447,-0.0388135138240491,-0.7684232145490963,0,0,0,0,0,0,1
272,-0.9523894433829584,-1.2843643157451363,-0.4840386911527413,0.081566462369018,-0.6740803349525418,0,0,0,0,0,0,1
273,-0.9523894433829584,-1.2843643157451363,-0.3055420991546252,0.0414398036379956,-0.6111588177209248,0,0,0,0,0,0,1
274,-0.9523894433829584,-1.3517652013507035,-0.6290671721512106,0.6032130258723112,-0.5639479816717768,0,0,0,0,0,0,1
275,-0.9523894433829584,-1.3517652013507035,0.6315650088354837,-1.1523282936099244,-0.5167371456226286,0,0,0,0,0,0,1
276,-1.0023854770106078,-1.3517652013507035,-0.7685176346497387,1.4759678532720513,-0.4695263095734806,0,0,0,0,0,0,1
277,-1.0023854770106078,-1.4191660869562706,1.178210821829714,-1.3429299225822813,-0.4223154735243324,0,0,0,0,0,0,1
278,-1.0023854770106078,-1.3517652013507035,-0.3334321916543309,1.074701265961826,-0.3593939562927155,0,0,0,0,0,0,1
279,-1.0023854770106078,-1.3517652013507035,0.4530684168373677,-1.0620433114651238,-0.2650510766961609,0,0,0,0,0,0,1
280,-1.0023854770106078,-1.2843643157451363,1.5630940983256516,-1.6639431924304615,-0.20212955946454403,0,0,0,0,0,0,1
281,-0.9523894433829584,-1.2843643157451363,-0.4617266171529768,0.3724847381689319,-0.15491872341539592,0,0,0,0,0,0,1
282,-0.9523894433829584,-1.3517652013507035,0.4865365278370144,-0.3497951189894738,-0.09199720618377899,0,0,0,0,0,0,1
313,-1.0523815106382577,-0.9473598877173782,-0.3947903951536833,-0.399953442403252,0.9434106943260692,0,0,0,0,0,0,1
314,-1.0023854770106078,-0.9473598877173782,-1.2593832626445576,1.0847329306445812,0.9906215303752174,0,0,0,0,0,0,1
315,-1.0523815106382577,-1.0147607733229451,-1.3318975031437923,1.3054295536652054,1.0378323664243656,0,0,0,0,0,0,1
316,-1.0523815106382577,-1.082161658928512,0.598096897835837,0.0615031330035071,1.1007538836559823,0,0,0,0,0,0,1
317,-1.1023775442658783,-1.082161658928512,0.9774021558318334,-0.6808400535204094,1.1479647197051306,0,0,0,0,0,0,1
318,-1.1023775442658783,-1.082161658928512,0.8156396193335408,-1.16235995829268,1.1951755557542787,0,0,0,0,0,0,1
319,-1.1023775442658783,-1.082161658928512,-0.1493575811562738,-0.0087185197757825,1.2423863918034268,0,0,0,0,0,0,1
320,-1.1023775442658783,-1.082161658928512,0.4084442688378387,-0.7911883650307214,1.2895972278525747,0,0,0,0,0,0,1
321,-1.1023775442658783,-1.082161658928512,0.0626071218414889,-0.1792568193826278,1.336808063901723,0,0,0,0,0,0,1
322,-1.1023775442658783,-1.082161658928512,-0.115889470156627,-0.7510617062996991,1.4311509434982774,0,0,0,0,0,0,1
323,-1.1023775442658783,-1.0147607733229451,-0.5063507651525058,0.0013131449069732,1.4783617795474258,0,0,0,0,0,0,1
324,-1.1023775442658783,-1.0147607733229451,0.1239653253408413,0.6333080199205777,1.5255726155965739,0,0,0,0,0,0,1
325,-1.1023775442658783,-1.0147607733229451,-0.2832300251548608,0.1919147738793301,1.5727834516457218,0,0,0,0,0,0,1
326,-1.1023775442658783,-1.0147607733229451,0.8937318783327166,-1.2225499463892138,1.6357049688773388,0,0,0,0,0,0,1
327,-1.1523735778935282,-1.0147607733229451,-0.2107157846556261,0.1417564504655519,1.682915804926487,0,0,0,0,0,0,1
329,-1.2023696115211493,-1.082161658928512,0.916043952332481,-0.8614100178100111,1.7615480033405728,0,0,0,0,0,0,1
330,-1.1523735778935282,-1.0147607733229451,1.0108702668314802,-1.0118849880513456,1.8558908829371275,0,0,0,0,0,0,1
331,-1.2023696115211493,-1.082161658928512,-0.785251690149562,0.1919147738793301,1.9502337625336816,0,0,0,0,0,0,1
332,-1.2023696115211493,-1.082161658928512,-0.8242978196491499,1.1950812421548933,2.0131552797652987,0,0,0,0,0,0,1
333,-1.2023696115211493,-1.149562544534041,-0.0043291001578045,0.0213764742724847,-1.3959837443286895,0,0,0,0,0,0,1
364,-1.2023696115211493,-1.149562544534041,-0.562130950151917,0.7837829901619122,-0.3762865250013101,0,0,0,0,0,0,1
365,-1.2023696115211493,-1.082161658928512,-0.7350495236500919,1.5261261766858294,-0.329075688952162,0,0,0,0,0,0,1
366,-1.2023696115211493,-1.082161658928512,-1.0362625226469129,1.7568544643892088,-0.28186485290301394,0,0,0,0,0,0,1
367,-1.2023696115211493,-1.0147607733229451,0.0737631588413712,0.0915981270517738,-0.2346540168538657,0,0,0,0,0,0,1
368,-1.2023696115211493,-1.082161658928512,0.1685894733403703,-0.1692251546998727,-0.1717324996222488,0,0,0,0,0,0,1
369,-1.252365645148799,-1.082161658928512,-0.2776520066549197,-0.0488451785068049,-0.10881098239063186,0,0,0,0,0,0,1
370,-1.252365645148799,-1.082161658928512,0.2689938063393106,-0.3899217777204962,-0.06160014634148374,0,0,0,0,0,0,1
371,-1.252365645148799,-1.149562544534041,0.46422445383725,-0.2795734662101841,0.032742733255070794,0,0,0,0,0,0,1
372,-1.252365645148799,-1.082161658928512,0.3638201208383097,-0.1892884840653836,0.09566425048668771,0,0,0,0,0,0,1
373,-1.3023616787764485,-1.149562544534041,-0.7462055606499741,1.1750179127893825,0.14287508653583572,0,0,0,0,0,0,1
374,-1.3023616787764485,-1.149562544534041,-0.7071594311503863,0.2019464385620858,0.20579660376745265,0,0,0,0,0,0,1
375,-1.3023616787764485,-1.149562544534041,-0.6011770796515049,0.3022630853896422,0.2530074398166008,0,0,0,0,0,0,1
376,-1.3023616787764485,-1.216963430139608,-0.0322191926575101,-0.2595101368446733,0.3002182758657489,0,0,0,0,0,0,1
377,-1.3023616787764485,-1.216963430139608,-0.7685176346497387,1.1950812421548933,0.3474291119148971,0,0,0,0,0,0,1
378,-1.3023616787764485,-1.216963430139608,-0.6402232091510928,1.3957145358100058,0.410350629146514,0,0,0,0,0,0,1
379,-1.3523577124040698,-1.216963430139608,1.2005228958294785,-1.0620433114651238,0.473272146378131,0,0,0,0,0,0,1
380,-1.3523577124040698,-1.216963430139608,1.2005228958294785,-1.32286659321677,0.5204829824272792,0,0,0,0,0,0,1
382,-1.252365645148799,-1.0147607733229451,0.0402950478417244,0.0414398036379956,0.5991151808413648,0,0,0,0,0,0,1
383,-1.252365645148799,-1.0147607733229451,-1.1366668556458528,0.8038463195274238,0.6463260168905129,0,0,0,0,0,0,1
384,-1.252365645148799,-0.9473598877173782,1.6913885238242974,-1.3028032638512588,0.693536852939661,0,0,0,0,0,0,1
415,-1.3023616787764485,-1.082161658928512,0.2745718248392517,-0.7510617062996991,1.5561272604423524,0,0,0,0,0,0,1
416,-1.252365645148799,-1.0558458694548276,-0.1549355996562149,0.2821997560241306,1.58754862280729,0,0,0,0,0,0,1
417,-1.3023616787764485,-0.9621291943755768,-0.2441838956552729,-0.2193834781136509,1.6189699851722277,0,0,0,0,0,0,1
418,-1.3023616787764485,-1.0032142905074592,-0.8075637641493265,1.014511277865292,1.6503913475371652,0,0,0,0,0,0,1
419,-1.3023616787764485,-0.9768985010337751,3.414996240306105,-2.2357480793475326,-1.6959837443286896,0,0,0,0,0,0,1
420,-1.3523577124040698,-1.01798359716562,-0.2107157846556261,-0.1792568193826278,-1.6645623819637518,0,0,0,0,0,0,1
421,-1.3523577124040698,-0.9916678076919356,-1.326319484643851,-0.0388135138240491,-1.6174303384163455,0,0,0,0,0,0,1
422,-1.3523577124040698,-0.9653520182182515,0.6594551013351894,-0.8915050118582778,-1.570298294868939,0,0,0,0,0,0,1
423,-1.3523577124040698,-0.9390362287445673,-1.1478228926457352,1.5261261766858294,-1.5231662513215327,0,0,0,0,0,0,1
424,-1.3523577124040698,-0.9127204392708831,-0.3055420991546252,0.3925480675344427,-1.491744888956595,0,0,0,0,0,0,1
425,-1.3523577124040698,-0.8190037641916699,-0.606755098151446,0.5731180318240445,-1.4603235265916574,0,0,0,0,0,0,1
426,-1.3523577124040698,-0.7926879747179856,0.7040792493347183,-1.112201634878902,-1.42890216422672,0,0,0,0,0,0,1
427,-1.3023616787764485,-0.6989712996387346,-0.2107157846556261,0.492864714361999,-1.3817701206793134,0,0,0,0,0,0,1
428,-1.252365645148799,-0.6726555101650504,-0.2386058771553318,0.2220097679275974,-1.3503487583143758,0,0,0,0,0,0,1
429,-1.2023696115211493,-0.5789388350857994,0.3136179543388396,-0.3096684602584514,-1.3032167147669695,0,0,0,0,0,0,1
430,-1.252365645148799,-0.5526230456121151,-1.845075205138376,2.2383743691614786,-1.256084671219563,0,0,0,0,0,0,1
431,-1.252365645148799,-0.5263072561384309,0.3191959728387807,-0.2896051308929399,-1.2246633088546257,0,0,0,0,0,0,1
432,-1.252365645148799,-0.5673923522703136,-0.5175068021523881,0.1919147738793301,-1.1932419464896875,0,0,0,0,0,0,1
433,-1.2023696115211493,-0.5410765627966294,-0.4059464321535655,-0.0287818491412933,-1.1618205841247502,0,0,0,0,0,0,1
434,-1.2023696115211493,-0.5147607733229451,1.7248566348239442,-1.6338481983821946,-1.114688540577344,0,0,0,0,0,0,1
467,-1.4023537460317193,-1.0147607733229451,0.0626071218414889,0.1517881151483077,0.2678514034799107,0,0,0,0,0,0,1
468,-1.4023537460317193,-0.9884449838492609,3.58791481380428,-2.3561280555406,0.2992727658448483,0,0,0,0,0,0,1
469,-1.3523577124040698,-0.8273274231644812,0.4474903983374266,-0.8413466884444997,0.3306941282097859,0,0,0,0,0,0,1
470,-1.3523577124040698,-0.73361074808523,0.2634157878393695,-0.7309983769341876,0.3621154905747235,0,0,0,0,0,0,1
471,-1.3523577124040698,-0.7072949586115458,-0.2218718216555084,0.42264306158271,0.4092475341221299,0,0,0,0,0,0,1
472,-1.3523577124040698,-0.6809791691378616,-0.6681133016507984,0.2420730972931082,0.4878009400344739,0,0,0,0,0,0,1
473,-1.3023616787764485,-0.5198616084530818,-0.2330278586553906,0.1818831091965743,0.5663543459468179,0,0,0,0,0,0,1
474,-1.3023616787764485,-0.49354581897939753,-0.1047334331567447,-0.2996367955756956,0.6134863894942243,0,0,0,0,0,0,1
475,-1.3023616787764485,-0.39982914390014634,-0.339010210154272,0.9844162838170248,0.6606184330416307,0,0,0,0,0,0,1
476,-1.3023616787764485,-0.37351335442646216,-0.8856560231485022,0.1116614564172853,0.6920397954065683,0,0,0,0,0,0,1
477,-1.3023616787764485,-0.41459845055834493,0.1741674918403114,-0.2093518134308951,0.723461157771506,0,0,0,0,0,0,1
478,-1.3023616787764485,-0.3882826610846607,-0.3947903951536833,0.1417564504655519,0.7548825201364435,0,0,0,0,0,0,1
479,-1.3023616787764485,-0.3619668716109765,1.641186357324827,-1.7441965098925063,0.8334359260487876,0,0,0,0,0,0,1
480,-1.3023616787764485,-0.40305196774285923,-1.2036030776451463,1.736791135023697,0.8648572884137251,0,0,0,0,0,0,1
481,-1.3023616787764485,-0.3093352926636081,0.246681732339546,-0.8012200297134773,0.9119893319611316,0,0,0,0,0,0,1
482,-1.3523577124040698,-0.28301950318992386,0.0960752328411357,-0.0488451785068049,0.9434106943260692,0,0,0,0,0,0,1
483,-1.3523577124040698,-0.2567037137162397,0.0514510848416067,-0.2595101368446733,0.9905427378734756,0,0,0,0,0,0,1
484,-1.3023616787764485,-0.2303879242425555,-1.1980250591452053,1.6966644762926748,1.0219641002384132,0,0,0,0,0,0,1
485,-1.3023616787764485,-0.20407213476887126,0.1630114548404292,-0.6306817301066312,1.0533854626033508,0,0,0,0,0,0,1
486,-1.3023616787764485,-0.17775634529518702,0.8156396193335408,-0.9316316705893004,1.0848068249682885,0,0,0,0,0,0,1
517,-1.252365645148799,-0.4755536884785243,1.0778064888307737,-1.0118849880513456,-1.1932419464896875,0,0,0,0,0,0,1
518,-1.252365645148799,-0.4081528028729957,-0.8242978196491499,1.8270761171684984,-1.1618205841247502,0,0,0,0,0,0,1
519,-1.2023696115211493,-0.3407519172674287,2.14878604081947,-1.944829803547619,-1.114688540577344,0,0,0,0,0,0,1
520,-1.1523735778935282,-0.3407519172674287,2.7233219463134057,-2.025083121009664,-1.083267178212406,0,0,0,0,0,0,1
521,-1.2023696115211493,-0.3407519172674287,0.4363343613375443,-0.3798901130377404,-1.0361351346649998,0,0,0,0,0,0,1
522,-1.252365645148799,-0.4081528028729957,-0.2330278586553906,-0.4200167717687635,-1.0047137723000623,0,0,0,0,0,0,1
523,-1.252365645148799,-0.3407519172674287,-0.5063507651525058,0.3724847381689319,-0.9732924099351248,0,0,0,0,0,0,1
524,-1.3023616787764485,-0.4081528028729957,-0.7685176346497387,0.5931813611895553,-0.9261603663877184,0,0,0,0,0,0,1
525,-1.3023616787764485,-0.4081528028729957,0.4530684168373677,-0.4601434304997859,-0.8947390040227806,0,0,0,0,0,0,1
526,-1.3023616787764485,-0.4081528028729957,-0.4059464321535655,0.5530547024585329,-0.863317641657843,0,0,0,0,0,0,1
527,-1.2023696115211493,-0.3407519172674287,-0.9247021526480902,1.0646696012790704,-0.8318962792929054,0,0,0,0,0,0,1
528,-1.2023696115211493,-0.2733510316618617,0.2968838988390162,-0.4200167717687635,-0.8004749169279678,0,0,0,0,0,0,1
529,-1.252365645148799,-0.3407519172674287,0.0793411773413123,0.2420730972931082,-0.7533428733805614,0,0,0,0,0,0,1
530,-1.2023696115211493,-0.3407519172674287,0.1685894733403703,-0.3798901130377404,-0.706210829833155,0,0,0,0,0,0,1
531,-1.2023696115211493,-0.3407519172674287,0.9495120633321278,-0.7811567003479657,-0.6747894674682174,0,0,0,0,0,0,1
532,-1.2023696115211493,-0.3407519172674287,0.0570291033415478,0.2896982460864359,-0.627657423920811,0,0,0,0,0,0,1
533,-1.252365645148799,-0.4081528028729957,-0.5342408576522114,0.5430230377757772,-0.5962360615558734,0,0,0,0,0,0,1
